--- Frequent itemSets ---
--- Minimum Support: 0.001 ---
1. [yogurt], support: 0.08587850030074183
2. [canned fish], support: 0.007685624540533315
3. [mayonnaise], support: 0.005012363830782597
4. [dish cleaner], support: 0.004878700795295061
5. [popcorn], support: 0.003207912851700862
6. [sparkling wine], support: 0.0030742498162133263
7. [prosecco], support: 0.0012697988371315912
8. [white bread], support: 0.023992514870012697
9. [beef], support: 0.03395041101383412
10. [curd], support: 0.03368308494285905
11. [soft cheese], support: 0.010024727661565194
12. [Instant food products], support: 0.004009891064626078
13. [tea], support: 0.001804450979081735
14. [instant coffee], support: 0.00394305954688231
15. [flour], support: 0.009757401590590123
16. [jam], support: 0.0022722716032881106
17. [shopping bags], support: 0.04758404063356279
18. [beverages], support: 0.016574216400454454
19. [flower (seeds)], support: 0.004611374724319989
20. [long life bakery product], support: 0.017910846755329814
21. [skin care], support: 0.0013366303548753592
22. [roll products ], support: 0.005480184454988973
23. [frozen vegetables], support: 0.028002405934638777
24. [light bulbs], support: 0.0019381140145692708
25. [frozen potato products], support: 0.0048118692775512934
26. [processed cheese], support: 0.01015839069705273
27. [sliced cheese], support: 0.014034618726191272
28. [frozen meals], support: 0.016774710953685757
29. [brown bread], support: 0.03762614448974136
30. [ready soups], support: 0.0010024727661565194
31. [turkey], support: 0.005346521419501437
32. [packaged fruit/vegetables], support: 0.00848760275345853
33. [potato products], support: 0.0015371249081066632
34. [pip fruit], support: 0.049054334023925686
35. [cooking chocolate], support: 0.0010024727661565194
36. [tidbits], support: 0.0014702933903628951
37. [nut snack], support: 0.0014702933903628951
38. [chocolate], support: 0.02359152576355009
39. [ketchup], support: 0.002138608567800575
40. [finished products], support: 0.00427721713560115
41. [butter milk], support: 0.017576689166610975
42. [pudding powder], support: 0.0011361358016440553
43. [curd cheese], support: 0.0030742498162133263
44. [canned vegetables], support: 0.005480184454988973
45. [pot plants], support: 0.007819287576020852
46. [female sanitary products], support: 0.0026732607097507185
47. [liquor], support: 0.0068836463276081
48. [pork], support: 0.037091492347791216
49. [condensed milk], support: 0.0065494887388892606
50. [whipped/sour cream], support: 0.043707812604424245
51. [pet care], support: 0.005680679008220277
52. [house keeping products], support: 0.003007418298469558
53. [white wine], support: 0.011695515605159393
54. [photo/film], support: 0.005279689901757669
55. [organic sausage], support: 0.0014702933903628951
56. [cat food], support: 0.011829178640646929
57. [onions], support: 0.02024994987636169
58. [salt], support: 0.005948005079195348
59. [hamburger meat], support: 0.021853906302212123
60. [hard cheese], support: 0.01470293390362895
61. [vinegar], support: 0.003408407404932166
62. [other vegetables], support: 0.12210118291786407
63. [dishes], support: 0.009022254895408675
64. [canned beer], support: 0.04691572545612511
65. [bottled beer], support: 0.04531176903027468
66. [nuts/prunes], support: 0.002205440085544343
67. [pastry], support: 0.0517275947336764
68. [citrus fruit], support: 0.05313105660629553
69. [abrasive cleaner], support: 0.0014702933903628951
70. [domestic eggs], support: 0.037091492347791216
71. [canned fruit], support: 0.001403461872619127
72. [cocoa drinks], support: 0.0010693042839002875
73. [fish], support: 0.0019381140145692708
74. [specialty chocolate], support: 0.015972732740760543
75. [specialty cheese], support: 0.0048118692775512934
76. [tropical fruit], support: 0.0677671589921807
77. [brandy], support: 0.0025395976742631824
78. [waffles], support: 0.018512330415023724
79. [sausage], support: 0.06034886052262247
80. [male cosmetics], support: 0.0024727661565194146
81. [rum], support: 0.002138608567800575
82. [napkins], support: 0.022121232373187194
83. [detergent], support: 0.008621265788946068
84. [pickled vegetables], support: 0.008955423377664907
85. [mustard], support: 0.006148499632426653
86. [specialty fat], support: 0.0019381140145692708
87. [ice cream], support: 0.015170754527835327
88. [frozen fish], support: 0.006816814809864332
89. [specialty bar], support: 0.013967787208447505
90. [ham], support: 0.0171088685424046
91. [chewing gum], support: 0.012029673193878232
92. [hygiene articles], support: 0.013700461137472432
93. [liquor (appetizer)], support: 0.004477711688832453
94. [frankfurter], support: 0.037759807525228894
95. [artif. sweetener], support: 0.0019381140145692708
96. [cleaner], support: 0.0020717770500568067
97. [cookware], support: 0.0011361358016440553
98. [fruit/vegetable juice], support: 0.03401724253157789
99. [newspapers], support: 0.038895943326872955
100. [baking powder], support: 0.008086613646995923
101. [cereals], support: 0.002806923745238254
102. [margarine], support: 0.03221279155249616
103. [cake bar], support: 0.006148499632426653
104. [rolls/buns], support: 0.11000467820624206
105. [frozen dessert], support: 0.006148499632426653
106. [cling film/bags], support: 0.004945532313038829
107. [flower soil/fertilizer], support: 0.0010693042839002875
108. [salty snack], support: 0.018779656485998796
109. [sugar], support: 0.01771035220209851
110. [spices], support: 0.0026732607097507185
111. [dog food], support: 0.004477711688832453
112. [soap], support: 0.0013366303548753592
113. [grapes], support: 0.01443560783265388
114. [zwieback], support: 0.004009891064626078
115. [sauces], support: 0.0029405867807257902
116. [chicken], support: 0.027868742899151238
117. [bottled water], support: 0.06068301811134131
118. [candy], support: 0.014368776314910112
119. [dental care], support: 0.002205440085544343
120. [kitchen towels], support: 0.002004945532313039
121. [candles], support: 0.004410880171088686
122. [berries], support: 0.021787074784468355
123. [spread cheese], support: 0.006683151774376796
124. [herbs], support: 0.010559379803515338
125. [UHT-milk], support: 0.021386085678005748
126. [bathroom cleaner], support: 0.0011361358016440553
127. [meat spreads], support: 0.0023391031210318785
128. [oil], support: 0.014903428456860256
129. [soups], support: 0.003207912851700862
130. [seasonal products], support: 0.007084140880839404
131. [cream cheese ], support: 0.023658357281293858
132. [pasta], support: 0.008086613646995923
133. [misc. beverages], support: 0.01577223818752924
134. [chocolate marshmallow], support: 0.004009891064626078
135. [softener], support: 0.0027400922274944863
136. [semi-finished bread], support: 0.009490075519615051
137. [butter], support: 0.03522020985096572
138. [whole milk], support: 0.15792287642852368
139. [liver loaf], support: 0.003341575887188398
140. [syrup], support: 0.001403461872619127
141. [soda], support: 0.09710619528169484
142. [rice], support: 0.0032747443694446303
143. [snack products], support: 0.001804450979081735
144. [root vegetables], support: 0.06957160997126245
145. [dessert], support: 0.02359152576355009
146. [coffee], support: 0.03161130789280225
147. [meat], support: 0.016841542471429525
148. [red/blush wine], support: 0.01049254828577157
149. [sweet spreads], support: 0.004544543206576221
150. [white bread, yogurt], support: 0.0010693042839002875
151. [yogurt, beef], support: 0.002205440085544343
152. [yogurt, curd], support: 0.0022722716032881106
153. [soft cheese, yogurt], support: 0.0012697988371315912
154. [shopping bags, yogurt], support: 0.003542070440419702
155. [yogurt, long life bakery product], support: 0.0012029673193878234
156. [yogurt, frozen vegetables], support: 0.0020717770500568067
157. [yogurt, frozen meals], support: 0.0013366303548753592
158. [yogurt, brown bread], support: 0.0023391031210318785
159. [pip fruit, yogurt], support: 0.00360890195816347
160. [yogurt, chocolate], support: 0.001603956425850431
161. [butter milk, yogurt], support: 0.0012697988371315912
162. [pork, yogurt], support: 0.0030742498162133263
163. [yogurt, whipped/sour cream], support: 0.0029405867807257902
164. [yogurt, onions], support: 0.0012697988371315912
165. [hamburger meat, yogurt], support: 0.001670787943594199
166. [yogurt, hard cheese], support: 0.0012697988371315912
167. [yogurt, other vegetables], support: 0.008086613646995923
168. [yogurt, canned beer], support: 0.0038762280291385416
169. [bottled beer, yogurt], support: 0.003408407404932166
170. [yogurt, pastry], support: 0.00360890195816347
171. [yogurt, citrus fruit], support: 0.004611374724319989
172. [yogurt, domestic eggs], support: 0.0020717770500568067
173. [tropical fruit, yogurt], support: 0.005212858384013901
174. [waffles, yogurt], support: 0.0011361358016440553
175. [yogurt, sausage], support: 0.005747510525964045
176. [napkins, yogurt], support: 0.0017376194613379669
177. [yogurt, detergent], support: 0.0010693042839002875
178. [specialty bar, yogurt], support: 0.0012029673193878234
179. [yogurt, ham], support: 0.0012697988371315912
180. [yogurt, chewing gum], support: 0.001403461872619127
181. [yogurt, frankfurter], support: 0.0025395976742631824
182. [yogurt, fruit/vegetable juice], support: 0.002205440085544343
183. [yogurt, newspapers], support: 0.0028737552629820224
184. [yogurt, margarine], support: 0.002138608567800575
185. [yogurt, rolls/buns], support: 0.007819287576020852
186. [yogurt, salty snack], support: 0.0015371249081066632
187. [yogurt, chicken], support: 0.001804450979081735
188. [bottled water, yogurt], support: 0.003809396511394774
189. [yogurt, candy], support: 0.0012029673193878234
190. [berries, yogurt], support: 0.001403461872619127
191. [yogurt, herbs], support: 0.0011361358016440553
192. [yogurt, UHT-milk], support: 0.0011361358016440553
193. [yogurt, oil], support: 0.0010693042839002875
194. [yogurt, cream cheese ], support: 0.001603956425850431
195. [yogurt, misc. beverages], support: 0.0012697988371315912
196. [yogurt, butter], support: 0.002205440085544343
197. [yogurt, whole milk], support: 0.011160863463209249
198. [soda, yogurt], support: 0.005814342043707813
199. [root vegetables, yogurt], support: 0.00427721713560115
200. [dessert, yogurt], support: 0.0012029673193878234
201. [yogurt, coffee], support: 0.0020717770500568067
202. [white bread, brown bread], support: 0.0010024727661565194
203. [white bread, whipped/sour cream], support: 0.0010024727661565194
204. [white bread, other vegetables], support: 0.0026064291920069507
205. [white bread, canned beer], support: 0.0015371249081066632
206. [white bread, citrus fruit], support: 0.0011361358016440553
207. [white bread, domestic eggs], support: 0.0010024727661565194
208. [white bread, tropical fruit], support: 0.0010024727661565194
209. [white bread, sausage], support: 0.001403461872619127
210. [white bread, rolls/buns], support: 0.002138608567800575
211. [white bread, bottled water], support: 0.0012697988371315912
212. [white bread, whole milk], support: 0.003141081333957094
213. [white bread, soda], support: 0.0015371249081066632
214. [white bread, root vegetables], support: 0.0012697988371315912
215. [beef, curd], support: 0.0012697988371315912
216. [shopping bags, beef], support: 0.0012697988371315912
217. [beef, frozen vegetables], support: 0.0012697988371315912
218. [brown bread, beef], support: 0.0015371249081066632
